序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1380,600141,兴发集团,37.6,0.94%,1.86%,4.06亿,3.87亿,1955.13万,7.93亿
1381,002458,益生股份,9.71,0.94%,2.20%,9078.56万,7001.29万,2077.27万,1.61亿
1382,688060,云涌科技,46.58,0.93%,0.91%,1487.53万,1065.10万,422.43万,2552.64万
1383,001231,农心科技,25.08,0.93%,7.95%,5411.61万,4513.67万,897.94万,9973.89万
1384,001211,双枪科技,29.44,0.93%,2.51%,2847.12万,2094.20万,752.93万,4958.98万
1385,003032,*ST传智,6.52,0.93%,1.31%,1458.97万,851.05万,607.93万,2341.97万
1386,300915,海融科技,25.96,0.93%,4.56%,3461.59万,3387.20万,74.39万,6848.80万
1387,605151,西上海,20.71,0.93%,7.02%,9465.81万,9841.60万,-375.80万,1.93亿
1388,603127,昭衍新药,37.81,0.93%,2.26%,2.92亿,2.47亿,4517.70万,5.38亿
1389,600936,北投科技,4.32,0.93%,1.50%,6285.84万,4564.73万,1721.11万,1.09亿
1390,600727,鲁北化工,7.59,0.93%,5.66%,1.28亿,9766.32万,3000.67万,2.25亿
1391,600592,龙溪股份,23.9,0.93%,2.22%,1.15亿,9743.21万,1756.20万,2.12亿
1392,600429,三元股份,5.45,0.93%,1.85%,9008.72万,6028.82万,2979.89万,1.50亿
1393,301616,浙江华业,52.56,0.92%,3.80%,2264.84万,1728.18万,536.66万,3993.02万
1394,002779,中坚科技,98.71,0.92%,1.36%,1.36亿,8737.50万,4905.38万,2.24亿
1395,688685,迈信林,49.35,0.92%,1.32%,5496.28万,3919.91万,1576.37万,9416.20万
1396,000707,双环科技,6.55,0.92%,2.26%,3574.13万,3249.07万,325.07万,6876.93万
1397,301059,金三江,15.29,0.92%,12.21%,1.69亿,2.13亿,-4433.01万,3.82亿
1398,300921,南凌科技,29.69,0.92%,24.97%,4.16亿,4.31亿,-1522.49万,8.47亿
1399,300902,国安达,20.93,0.92%,2.34%,3631.67万,2301.14万,1330.53万,5932.80万
1400,601107,四川成渝,6.58,0.92%,0.71%,5371.31万,4781.70万,589.61万,1.02亿
1401,600389,江山股份,25.2,0.92%,2.67%,1.43亿,1.50亿,-701.70万,2.93亿
1402,300514,友讯达,14.28,0.92%,3.10%,3618.75万,3511.83万,106.92万,7130.59万
1403,002952,亚世光电,24.12,0.92%,8.00%,1.43亿,1.10亿,3303.92万,2.56亿
1404,002169,智光电气,13.11,0.92%,4.63%,2.42亿,2.18亿,2438.64万,4.59亿
1405,002056,横店东磁,19.71,0.92%,1.12%,2.01亿,1.59亿,4169.99万,3.60亿
1406,000837,秦川机床,12.07,0.92%,1.31%,8243.61万,7609.98万,633.64万,1.59亿
1407,002306,*ST云网,2.21,0.91%,3.12%,3148.78万,2460.62万,688.15万,5609.46万
1408,603912,佳力图,8.83,0.91%,2.14%,5253.99万,4966.71万,287.28万,1.02亿
1409,300103,达刚控股,7.8,0.91%,2.15%,2622.99万,2650.54万,-27.54万,5273.53万
1410,300069,金利华电,18.94,0.91%,2.36%,2873.36万,2385.30万,488.06万,5258.65万
1411,002395,双象股份,20.02,0.91%,1.77%,5245.87万,4249.54万,996.33万,9498.01万
1412,000626,远大控股,7.75,0.91%,1.15%,2347.26万,2102.10万,245.16万,4501.25万
1413,301507,民生健康,15.72,0.90%,5.91%,5639.09万,4669.28万,969.80万,1.03亿
1414,688249,晶合集成,34.68,0.90%,2.67%,5.25亿,5.82亿,-5737.63万,11.07亿
1415,002760,凤形股份,23.48,0.90%,2.72%,3998.13万,2859.54万,1138.59万,6896.40万
1416,002420,毅昌科技,7.89,0.90%,3.03%,4800.69万,4777.15万,23.54万,9578.64万
1417,301220,亚香股份,37.2,0.90%,1.71%,3195.59万,1775.56万,1420.04万,4971.14万
1418,300930,屹通新材,31.45,0.90%,2.90%,2417.50万,1881.89万,535.61万,4299.40万
1419,300823,建科智能,17.97,0.90%,3.47%,2799.20万,2505.11万,294.09万,5304.31万
1420,688015,交控科技,24.65,0.90%,0.75%,1647.63万,1809.65万,-162.02万,3457.28万
1421,603863,松炀资源,20.25,0.90%,3.35%,6882.84万,7038.20万,-155.36万,1.39亿
1422,300393,中来股份,10.05,0.90%,22.65%,10.90亿,10.66亿,2373.60万,21.56亿
1423,300019,硅宝科技,21.36,0.90%,1.95%,9108.62万,6141.39万,2967.23万,1.53亿
1424,002822,ST中装,3.36,0.90%,0.78%,1778.80万,966.11万,812.68万,2784.36万
1425,002645,华宏科技,14.63,0.90%,2.37%,9244.96万,9745.11万,-500.15万,1.92亿
1426,000096,广聚能源,11.18,0.90%,1.43%,4758.69万,3346.62万,1412.08万,8147.41万
1427,000815,美利云,13.53,0.89%,9.26%,4.31亿,4.13亿,1749.30万,8.52亿
1428,603235,天新药业,27.16,0.89%,0.24%,1852.49万,1053.52万,798.97万,2906.01万
1429,301502,华阳智能,46.65,0.89%,2.88%,1545.11万,1613.95万,-68.84万,3159.07万
1430,603970,中农立华,13.63,0.89%,1.75%,3621.31万,2817.25万,804.06万,6438.57万
1431,002925,盈趣科技,20.32,0.89%,1.34%,1.08亿,9054.68万,1745.86万,2.00亿
1432,002666,德联集团,5.65,0.89%,2.99%,4544.28万,3913.83万,630.45万,8500.60万
1433,000049,德赛电池,26.02,0.89%,1.33%,7569.27万,5592.23万,1977.05万,1.33亿
1434,300991,创益通,42.52,0.88%,2.57%,5889.87万,4155.87万,1734.00万,1.00亿
1435,688585,上纬新材,144.14,0.88%,1.06%,3.29亿,2.95亿,3345.34万,6.24亿
1436,603416,信捷电气,55.26,0.88%,1.66%,6287.99万,6468.97万,-180.98万,1.28亿
1437,300584,海辰药业,44.63,0.88%,4.83%,8416.20万,9388.09万,-971.89万,1.78亿
1438,002658,雪迪龙,10.36,0.88%,7.92%,1.34亿,1.54亿,-2011.26万,2.95亿
1439,002469,三维化学,9.14,0.88%,1.38%,4248.69万,3682.98万,565.71万,7931.74万
1440,301019,宁波色母,23.32,0.87%,1.69%,2225.40万,1909.98万,315.42万,4135.38万
